,Measured
1994-09-13 12:24:00.000000000,4.3
1994-10-09 02:01:12.000000000,4.4
1994-11-10 22:57:36.000000000,4.4
1994-12-13 19:54:00.000000000,4.2
1995-01-12 01:10:48.000000000,4.0
1995-02-06 14:48:00.000000000,4.0
1995-03-22 10:43:12.000000000,4.2
1995-04-13 08:40:48.000000000,3.9
1995-05-23 12:56:24.000000000,4.3
1995-06-21 18:13:12.000000000,4.8
1995-08-30 03:45:36.000000000,4.5
1995-10-02 00:42:00.000000000,4.8
1995-10-20 07:00:00.000000000,4.5
1995-11-14 20:37:12.000000000,4.7
1996-01-08 15:31:12.000000000,4.8
1996-02-25 03:06:00.000000000,3.9
1996-03-21 16:43:11.999999991,4.9
1996-05-15 11:37:12.000000000,3.8
1996-07-27 12:49:12.000000000,4.7
1996-08-22 02:26:24.000000000,5.1
1996-09-27 15:02:24.000000000,4.2
1996-10-15 21:20:23.999999991,4.9
1996-11-21 09:56:24.000000000,5.0
1996-12-16 23:33:35.999999991,4.9
1997-01-29 19:28:48.000000000,4.9
1997-02-17 01:46:48.000000000,4.6
1997-03-25 14:22:48.000000000,4.7
1997-04-20 04:00:00.000000000,4.8
1997-05-12 01:57:36.000000008,4.8
1997-06-10 07:14:24.000000008,5.0
1997-07-16 19:50:23.999999991,4.7
1997-08-04 02:08:24.000000000,4.8
1997-09-16 22:03:35.999999991,4.6
1997-10-16 03:20:23.999999991,4.5
1997-11-18 00:16:48.000000008,4.0
1997-12-09 22:14:24.000000008,3.7
1998-01-08 03:31:11.999999991,4.2
1998-02-17 07:46:48.000000008,3.8
1998-03-14 21:24:00.000000000,4.0
1998-04-05 19:21:36.000000000,4.2
1998-05-12 07:57:36.000000008,4.2
1998-06-06 21:34:47.999999991,4.1
1998-08-11 15:27:36.000000008,4.2
1998-09-17 04:03:35.999999991,4.0
1998-10-12 17:40:48.000000000,3.9
1998-11-10 22:57:36.000000008,3.9
1998-12-06 12:34:48.000000017,4.1
1999-01-30 07:28:48.000000008,3.7
1999-02-17 13:46:47.999999991,3.9
1999-03-11 11:44:24.000000008,4.1
1999-04-24 07:39:36.000000000,4.1
1999-05-19 21:16:47.999999991,4.1
1999-06-21 18:13:11.999999982,4.0
1999-08-04 14:08:24.000000000,3.8
1999-08-26 12:06:00.000000000,3.9
1999-09-13 18:24:00.000000000,4.1
1999-10-20 06:59:59.999999991,3.7
1999-11-25 19:36:00.000000000,3.9
1999-12-17 17:33:35.999999991,3.8
2000-01-12 07:10:48.000000000,3.6
2000-02-25 03:06:00.000000000,3.6
2000-03-21 16:43:11.999999982,3.8
2000-04-27 05:19:11.999999991,3.7
2000-05-19 03:16:47.999999991,3.7
2000-06-21 00:13:11.999999982,4.0
2000-08-14 19:07:12.000000017,4.3
2000-09-20 07:43:11.999999982,4.4
2000-10-04 22:21:36.000000000,4.2
2000-10-19 13:00:00.000000008,4.6
2000-11-06 19:17:59.999999991,4.5
2000-12-06 00:34:48.000000017,4.4
2001-01-18 20:30:00.000000008,4.0
2001-02-09 18:27:36.000000008,4.7
2001-03-21 22:43:11.999999982,4.2
2001-04-05 13:21:36.000000000,4.1
2001-05-08 10:17:59.999999991,4.4
2001-06-28 13:32:24.000000008,4.6
2001-07-24 03:09:36.000000017,4.2
2001-08-18 16:46:47.999999991,4.5
2001-09-13 06:24:00.000000000,4.4
