,Measured
1986-11-24 11:30:00.000000000,11.0
1987-11-17 10:10:48.000000000,7.6
1987-11-21 01:50:24.000000000,7.6
1988-12-08 14:08:24.000000000,5.6
1989-10-04 02:15:36.000000000,7.0
1990-10-04 08:15:36.000000000,13.2
1991-09-23 15:16:48.000000000,6.8
1992-12-15 21:27:36.000000000,13.0
1993-09-15 19:57:36.000000000,5.3
1994-11-28 03:09:36.000000008,9.6
1995-09-30 22:36:00.000000008,12.0
1997-11-20 13:50:23.999999991,7.2
1998-09-30 16:35:59.999999965,6.4
1999-08-03 12:02:24.000000000,11.2
1999-09-01 17:19:12.000000025,14.2
1999-10-04 14:15:35.999999982,16.0
1999-11-02 19:32:24.000000000,11.4
1999-12-02 00:49:12.000000025,8.3
2000-01-14 20:44:24.000000017,7.2
2000-02-02 03:02:24.000000000,7.7
2000-03-05 23:58:47.999999956,6.5
2000-04-04 05:15:35.999999982,6.8
2000-05-03 10:32:24.000000000,6.5
2000-06-05 07:28:47.999999956,6.5
2000-07-04 12:45:35.999999982,6.0
2000-08-02 18:02:24.000000000,6.2
2000-09-04 14:58:47.999999956,10.6
2000-10-03 20:15:35.999999982,13.4
2000-11-02 01:32:24.000000000,13.3
2000-12-04 22:28:47.999999956,12.0
2000-12-04 22:28:47.999999956,7.8
2001-01-17 18:24:00.000000034,10.1
2001-02-08 16:21:36.000000025,8.3
2001-03-06 05:58:47.999999956,8.3
2001-03-31 19:35:59.999999965,7.5
2001-05-03 16:32:24.000000000,7.2
2001-06-05 13:28:47.999999956,7.3
2001-07-04 18:45:35.999999982,5.9
2001-08-06 15:42:00.000000017,7.9
2001-09-04 20:58:47.999999956,8.2
2001-10-04 02:15:35.999999982,7.4
2001-11-05 23:12:00.000000017,6.2
2001-12-05 04:28:47.999999956,5.8
2002-01-07 01:25:11.999999991,5.3
2002-02-05 06:42:00.000000017,8.2
2002-03-02 20:19:12.000000025,10.1
2002-04-01 01:35:59.999999965,9.8
2002-04-30 06:52:47.999999991,8.7
2002-06-05 19:28:47.999999956,7.5
2002-07-01 09:05:59.999999965,6.7
2002-07-01 09:05:59.999999965,7.1
2002-08-06 21:42:00.000000017,7.5
2002-09-05 02:58:47.999999956,6.9
2002-09-30 16:35:59.999999965,6.5
2002-11-06 05:12:00.000000017,5.9
2002-12-09 02:08:23.999999974,5.8
2003-01-07 07:25:11.999999991,5.1
2003-02-01 21:02:24.000000000,5.1
2003-03-03 02:19:12.000000025,5.0
2003-04-01 07:36:00.000000043,4.7
2003-05-07 20:12:00.000000017,5.0
2003-06-06 01:28:48.000000034,5.2
2003-07-01 15:06:00.000000043,4.7
2003-08-03 12:02:24.000000000,6.9
2003-09-05 08:58:48.000000034,8.3
2003-09-30 22:36:00.000000043,8.4
2003-11-02 19:32:24.000000000,9.8
2003-12-02 00:49:12.000000025,8.9
2004-01-07 13:25:11.999999991,7.3
2004-02-09 10:21:36.000000025,6.2
2004-03-02 08:19:12.000000025,5.8
2004-04-07 20:55:11.999999991,6.1
2004-05-03 10:32:24.000000000,5.5
2004-06-01 15:49:12.000000025,5.3
2004-07-04 12:45:35.999999982,4.1
2004-08-02 18:02:24.000000000,4.3
2004-08-31 23:19:12.000000025,6.7
2004-10-03 20:15:35.999999982,7.5
2004-11-02 01:32:24.000000000,5.9
2004-12-01 06:49:12.000000025,5.0
2005-01-10 11:04:48.000000008,4.5
2005-02-01 09:02:24.000000000,4.9
2005-03-02 14:19:12.000000025,4.5
2005-04-04 11:15:35.999999982,3.3
2005-05-03 16:32:24.000000000,4.1
2005-05-03 16:32:24.000000000,4.0
2005-06-01 21:49:12.000000025,3.4
2005-07-04 18:45:35.999999982,3.3
2005-10-04 02:15:35.999999982,2.6
2006-01-10 17:04:48.000000008,2.8
2006-04-04 17:15:35.999999982,3.7
2006-07-05 00:45:35.999999982,12.0
2006-10-04 08:15:35.999999982,9.2
2007-01-10 23:04:48.000000008,7.8
2007-04-04 23:15:35.999999982,5.9
2007-07-27 04:43:12.000000060,4.5
2007-09-30 22:36:00.000000043,4.8
2008-01-07 13:25:11.999999991,4.1
2008-04-04 05:15:35.999999982,3.8
2008-06-30 21:06:00.000000043,4.7
2008-10-07 11:55:11.999999991,14.2
2009-01-06 19:25:11.999999991,10.1
2009-04-08 02:55:11.999999991,8.0
2009-07-08 10:25:11.999999991,7.5
2009-10-07 17:55:11.999999991,7.5
2010-01-18 00:24:00.000000034,6.5
2010-01-18 00:24:00.000000034,6.5
2010-04-15 16:14:24.000000017,4.7
2010-07-12 08:04:48.000000008,10.3
