,Measured
1986-11-10 11:45:00.000000000,1.7
1987-11-18 01:04:12.000000000,1.7
1988-11-06 08:05:24.000000000,1.6
1989-10-04 17:08:59.999999991,1.6
1990-10-30 12:46:12.000000000,1.6
1991-10-08 20:48:36.000000008,1.7
1992-10-11 18:28:12.000000017,1.8
1993-10-26 15:06:35.999999991,1.7
1994-12-09 17:01:47.999999982,1.8
1995-09-20 14:30:35.999999982,1.8
1997-10-01 01:29:24.000000017,1.8
1998-09-09 09:31:48.000000025,2.1
1999-10-12 12:28:11.999999974,2.0
2000-11-13 15:24:36.000000008,2.2
2001-10-08 08:48:35.999999965,2.2
2001-10-08 08:48:35.999999965,2.2
2002-10-15 22:07:47.999999991,2.4
2003-10-16 04:07:47.999999991,2.2
2004-10-11 18:28:12.000000060,2.7
2005-10-19 07:47:24.000000000,2.6
2006-10-23 05:27:00.000000017,3.0
2007-10-30 18:46:11.999999965,2.8
2007-10-30 18:46:11.999999965,2.7
2008-11-17 07:04:12.000000025,4.2
2009-11-10 05:45:00.000000000,3.6
2010-09-13 01:11:23.999999956,4.1
2011-09-02 08:12:35.999999922,3.6
2012-11-02 16:25:47.999999974,3.7
2013-11-21 04:43:48.000000034,5.0
2014-10-30 12:46:11.999999965,5.5
2015-09-24 06:10:11.999999991,3.7
2016-11-09 23:45:00.000000000,3.8
2017-09-09 03:31:47.999999939,3.5
2018-09-05 17:52:11.999999930,4.7
2019-12-02 15:42:36.000000077,4.2
