site_id,ncount,nmean,nstd,nmin,nmax,n05,n25,nmedian,n75,n95,nrange,datetime_min,datetime_max,years_sampled,samples_per_year_mean,nztmx,nztmy,type,depth,mk_trend,mk_p,f_p1,f_p2,frac_1,mrt1,age_min,age_max,age_mean,age_std,age_median,age_dist,age_depth,keep,dont_keep,LS_keep,Paired well,COMMENT
bx21_0017,20,12.715,1.640370626,9.9,16,10.47,11.725,12.55,13.55,16,6.1,21/05/2018 10:45,12/07/2023 12:30,5.145205479,3.887113951,1512832.307,5176552.958,well,11.1,0,0.076794467,0.5375,1,1,3,240.15,251.5,245.5375,9.531370548,245.15,500,5,FALSE,TRUE,TRUE,l36_0003,Replaced l36_0003 Merge time series. Age looks wrong for high nitrate. 
bx22_0041,4,5.075,0.411298756,4.7,5.6,4.715,4.775,5,5.3,5.54,0.9,25/11/2019 11:00,26/10/2022 14:10,2.920547945,1.369606004,1520589,5172673,well,40.1,,,0.49375,,,,30.56944444,48.90277778,38.79050926,15.66288554,38.0625,500,5,FALSE,TRUE,FALSE,,Not enough samples
bx22_0044,21,5.123809524,1.07652439,3.8,7.7,3.9,4.3,5,5.4,7.4,3.9,21/05/2018 12:30,12/07/2023 12:00,5.142465753,4.083644113,1529690,5166670,well,9,0,0.701296059,0.565625,1,1,3,78.90625,89.375,83.84375,8.805407154,83.25,500,5,FALSE,TRUE,TRUE,l36_0107,Replaced l36_0107 Merge time series
bx23_0854,4,9.175,0.287228132,8.8,9.5,8.86,9.1,9.2,9.275,9.455,0.7,9/12/2019 14:00,2/11/2022 13:40,2.898630137,1.379962193,1548795,5168040,well,30,,,0.575308642,1,1,1.5,27.06862745,1791.823529,615.544281,1641.794491,248.6421569,500,5,FALSE,TRUE,FALSE,m36_0456,Replaced m36_0456 but well was deepened. Do not merge. Age looks wrong for high nitrate.
bx23_0874,1,0.55,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0,9/11/2022 8:10,9/11/2022 8:10,0,inf,1559251.941,5175731.488,well,173,,,0.5,,,,129,392.5,272.6666667,134.0254221,296.5,500,5,FALSE,TRUE,FALSE,,
by22_0031,26,7.619230769,1.408266802,5.1,11.3,5.325,6.75,7.75,8.3,9.35,6.2,30/06/2016 11:00,15/06/2023 14:45,6.961643836,3.734750098,1539081,5149879,well,15.3,1,0.003962256,0.512846154,,,,187.1111111,200.037037,193.1975309,11.25461897,193.0185185,500,5,FALSE,TRUE,TRUE,l36_0871,Replaced l36_0871 Merge time series. Age looks wrong for high nitrate. 
by22_0045,7,0.954285714,0.514388217,0.48,1.64,0.483,0.57,0.66,1.38,1.64,1.16,8/11/2016 9:30,25/10/2022 13:20,5.964383562,1.173633441,1537575,5145563,well,17.7,0,0.457717434,0.50685,,,,171.9166667,182.55,176.8263889,9.199601586,176.875,500,5,FALSE,TRUE,FALSE,l37_0555,Replaced l37_0555 Merge time series 
l35_0009,34,9.958823529,2.112748841,6.6,13.6,6.795,7.825,10.6,11.55,12.735,7,9/10/2007 15:00,25/07/2023 14:00,15.8,2.151898734,1532276.729,5181640.917,well,125,-1,0.005176641,0.524444444,,,,65.5625,97.75,79.7172619,23.06817866,77.25,500,5,TRUE,FALSE,TRUE,,
l35_0107,8,2.975,0.759228932,2,4.4,2.105,2.525,2.85,3.35,4.085,2.4,15/12/1988 12:30,27/09/1995 10:40,6.783561644,1.179321486,1513457.203,5201149.977,well,16.7,-1,0.035447893,0.4991875,,,,171.8833333,184.2166667,177.6888889,11.42548549,177.4833333,500,5,FALSE,TRUE,FALSE,bx22_0044,Merge with bx22_0044
l35_0171,34,2.694411765,0.524232144,1.21,3.6,1.76,2.425,2.8,2.975,3.37,2.39,29/09/1986 14:05,12/10/2022 12:30,36.05753425,0.942937467,1522443.359,5184286.609,well,54,0,0.062517326,0.5,,,,15,24,19.5,6.363961031,19.5,0,0,TRUE,FALSE,TRUE,,
