,site_name,date,unclean_age,standard_deviation,f_p1,age,data_flag,age_type,database,alt_name,site_details,site_id,f_p2,frac_1,mrt1
9,M35/0172,1970-04-16 00:00:00,10,4.5,0.5,10.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
36,M35/1224,1970-07-24 00:00:00,22,10.0,0.4,22.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
42,M35/1255,1970-07-24 00:00:00,11,5.0,0.4,11.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
43,M35/1305,1970-07-24 00:00:00,15,7.0,0.4,15.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
51,M35/0732,1972-06-20 00:00:00,18,,0.5,18.0,single_value,tritium,ecan,nan,nan,nan,,,
52,M35/0758,1972-06-20 00:00:00,121,41.0,0.4,121.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
54,M35/1252,1972-06-20 00:00:00,23,,0.4,23.0,single_value,tritium,ecan,nan,nan,nan,,,
56,M35/0480,1972-06-20 00:00:00,23,,0.4,23.0,single_value,tritium,ecan,nan,nan,nan,,,
61,O31/0109,1972-08-29 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
63,O31/0104,1972-08-30 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
65,O31/0110,1972-08-30 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
69,O31/0086,1973-04-12 00:00:00,37,,0.6,37.0,single_value,tritium,ecan,nan,nan,nan,,,
70,O31/0001,1973-04-12 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
72,M35/0444,1973-04-14 00:00:00,5,,0.5,5.0,single_value,tritium,ecan,nan,nan,nan,,,
73,M35/0443,1973-04-14 00:00:00,5,0.5,0.4,5.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
77,O31/0055,1973-10-23 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
78,O31/0037,1973-10-23 00:00:00,1,,0.6,1.0,single_value,tritium,ecan,nan,nan,nan,,,
79,O31/0003,1973-10-23 00:00:00,26,13.0,0.6,26.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
85,M35/2158,1976-06-16 00:00:00,74,,,74.0,single_value,tritium,ecan,nan,nan,nan,,,
86,M35/2556,1976-06-16 00:00:00,61,,,61.0,single_value,tritium,ecan,nan,nan,nan,,,
96,O31/0090,1977-05-17 00:00:00,64,27.0,0.6,64.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
97,O31/0004,1977-06-14 00:00:00,>49,,0.6,49.0,>,tritium,ecan,nan,nan,nan,,,
112,M36/0631,1985-08-15 00:00:00,62,2.5,,62.0,single_value_with_sd_range,tritium,ecan,nan,nan,nan,,,
114,M36/0510,1985-08-15 00:00:00,67,4.25,,67.0,single_value_with_sd_range,tritium,ecan,nan,nan,nan,,,
116,M36/1298,1985-08-15 00:00:00,69,31.5,,69.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
120,M36/1249,1985-08-19 00:00:00,66,4.75,,66.0,single_value_with_sd_range,tritium,ecan,nan,nan,nan,,,
125,M35/3772,1985-09-02 00:00:00,30,17.5,0.5,30.0,single_value_with_sd,tritium,ecan,nan,nan,nan,,,
127,M35/3289,1985-09-02 00:00:00,>60,,0.4,60.0,>,tritium,ecan,nan,nan,nan,,,
139,M36/1245,1986-09-10 00:00:00,77,33.5,,77.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
140,M35/1455,1986-09-10 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
141,M35/3637,1986-09-10 00:00:00,112,,,112.0,single_value,tritium,ecan,nan,nan,nan,,,
149,M35/1944,1986-09-11 00:00:00,39,,,39.0,single_value,tritium,ecan,nan,nan,nan,,,
240,M35/0737,1993-12-14 00:00:00,121,41.0,0.4,121.0,single_value_with_sd_>,tritium,ecan,nan,nan,nan,,,
241,M35/1455,1993-12-14 00:00:00,28,,,28.0,single_value,tritium,ecan,nan,nan,nan,,,
242,M35/7017,1993-12-14 00:00:00,21,,,21.0,single_value,tritium,ecan,nan,nan,nan,,,
250,M35/0925,1993-12-16 00:00:00,18,,,18.0,single_value,tritium,ecan,nan,nan,nan,,,
251,M35/3637,1994-04-06 00:00:00,102,,,102.0,single_value,tritium,ecan,nan,nan,nan,,,
275,M35/2249,1997-03-10 00:00:00,19,,,19.0,single_value,tritium,ecan,nan,nan,nan,,,
276,M35/1653,1997-03-10 00:00:00,10,,,10.0,single_value,tritium,ecan,nan,nan,nan,,,
277,M35/6791,1997-03-10 00:00:00,>77,,,77.0,>,tritium,ecan,nan,nan,nan,,,
278,M35/1255,1997-03-10 00:00:00,35,,0.4,35.0,single_value,tritium,ecan,nan,nan,nan,,,
279,M35/1224,1997-03-10 00:00:00,38,,0.4,38.0,single_value,tritium,ecan,nan,nan,nan,,,
280,M35/6654,1997-03-11 00:00:00,25,,,25.0,single_value,tritium,ecan,nan,nan,nan,,,
281,M35/3174,1997-03-11 00:00:00,40,,,40.0,single_value,tritium,ecan,nan,nan,nan,,,
282,M35/6935,1997-03-11 00:00:00,20,,,20.0,single_value,tritium,ecan,nan,nan,nan,,,
283,M35/3653,1997-03-12 00:00:00,0,,,0.0,single_value,tritium,ecan,nan,nan,nan,,,
284,M35/5119,1997-03-12 00:00:00,6,,,6.0,single_value,tritium,ecan,nan,nan,nan,,,
285,M35/2637,1997-03-13 00:00:00,45,,,45.0,single_value,tritium,ecan,nan,nan,nan,,,
