ref,nztm_x,nztm_y,top_screen,aquifer_type,formation,alt_name,bore_depth,bottom_screen,database,site_location,screen_range,lithology,altitude,site_id,regional_council,report_source,region,water_level_bgl_m,elevation,no_ages,start_date,end_date,f_p1,f_p2,frac_1,mrt1,age_min,age_max,age_mean,age_std,age_median,org_ref
m35_0172,1541661.0,5194833.0,69.8,None,None,None,69.8,69.8,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1970-04-16 00:00:00,1970-04-16 00:00:00,0.5,,,,10.0,10.0,10.0,,10.0,M35/0172
m35_0758,1572423.0,5197600.0,95.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.4,,,,121.0,121.0,121.0,,121.0,M35/0758
m35_1976,1572546.0,5182178.0,143.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,1993-12-15 00:00:00,2006-04-13 00:00:00,,,,,1173.0,1184.0,1178.5,7.7781745930520225,1178.5,M35/1976
m35_2242,1578746.0,5180060.0,48.4,None,None,None,48.4,48.4,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1998-04-16 00:00:00,1998-04-16 00:00:00,,,,,78.0,78.0,78.0,,78.0,M35/2242
m35_2158,1571815.0,5180243.0,133.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,3.0,1976-06-16 00:00:00,1986-09-10 00:00:00,,,,,74.0,339.0,177.0,142.01056298740596,118.0,M35/2158
m36_1225,1568860.0,5176422.0,32.3,None,None,None,32.3,32.29999924,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2017-09-19 00:00:00,2017-09-19 00:00:00,,,,,41.0,41.0,41.0,,41.0,M36/1225
m35_2556,1570537.0,5182198.0,152.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1976-06-16 00:00:00,2006-04-13 00:00:00,,,,,61.0,1028.0,527.5,484.18763580523887,510.5,M35/2556
o31_0003,1656287.0,5308633.0,17.2,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-10-23 00:00:00,1973-10-23 00:00:00,0.6,,,,26.0,26.0,26.0,,26.0,O31/0003
m35_1224,1570439.0,5188955.0,120.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1970-07-24 00:00:00,1997-03-10 00:00:00,0.4,,,,22.0,50.0,38.0,11.775681155103795,40.0,M35/1224
m35_1252,1575235.0,5192037.0,30.5,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.4,,,,23.0,23.0,23.0,,23.0,M35/1252
m35_0732,1573598.0,5196582.0,21.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.5,,,,18.0,18.0,18.0,,18.0,M35/0732
m35_0443,1576091.0,5207796.0,21.0,None,None,None,21.0,21.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-14 00:00:00,1973-04-14 00:00:00,0.4,,,,5.0,5.0,5.0,,5.0,M35/0443
m35_0444,1577285.0,5207538.0,58.2,None,None,None,58.2,58.2,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-14 00:00:00,1973-04-14 00:00:00,0.5,,,,5.0,5.0,5.0,,5.0,M35/0444
m35_0480,1576202.0,5201724.0,33.5,None,None,None,33.5,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-06-20 00:00:00,1972-06-20 00:00:00,0.4,,,,23.0,23.0,23.0,,23.0,M35/0480
m35_1255,1570469.0,5189025.0,27.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1970-07-24 00:00:00,1997-03-10 00:00:00,0.4,,,,11.0,45.0,31.0,14.329456840136451,34.0,M35/1255
m35_1305,1571199.0,5188785.0,70.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1970-07-24 00:00:00,1970-07-24 00:00:00,0.4,,,,15.0,15.0,15.0,,15.0,M35/1305
m35_2557,1564692.0,5183059.0,17.0,None,None,None,17.0,17.0,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2006-12-13 00:00:00,2006-12-13 00:00:00,0.9,,,,2.0,2.0,2.0,,2.0,M35/2557
o31_0091,1651800.0,5307153.0,21.9,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,3.0,2009-03-18 00:00:00,2009-03-18 00:00:00,0.9,,,,74.0,320.0,196.33333333333334,123.00541993478716,195.0,O31/0091
o31_0109,1652180.0,5308332.0,27.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-08-29 00:00:00,1972-08-29 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0109
o31_0090,1655478.0,5306832.0,,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1977-05-17 00:00:00,1977-05-17 00:00:00,0.6,,,,64.0,64.0,64.0,,64.0,O31/0090
o31_0104,1658079.0,5312830.0,13.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-08-30 00:00:00,1972-08-30 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0104
o31_0110,1653746.0,5310341.0,9.14,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1972-08-30 00:00:00,1972-08-30 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0110
o31_0086,1651580.0,5307333.0,24.9,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-12 00:00:00,1973-04-12 00:00:00,0.6,,,,37.0,37.0,37.0,,37.0,O31/0086
o31_0001,1655978.0,5305733.0,8.2,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-04-12 00:00:00,1973-04-12 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0001
o31_0085,1653367.0,5307607.0,28.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2009-03-19 00:00:00,2009-03-19 00:00:00,0.83,,,,50.0,50.0,50.0,,50.0,O31/0085
o31_0004,1655458.0,5306802.0,24.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1977-06-14 00:00:00,1977-06-14 00:00:00,0.6,,,,49.0,49.0,49.0,,49.0,O31/0004
o31_0055,1654799.0,5307922.0,38.1,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-10-23 00:00:00,1973-10-23 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0055
o31_0037,1650181.0,5309332.0,17.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1973-10-23 00:00:00,1973-10-23 00:00:00,0.6,,,,1.0,1.0,1.0,,1.0,O31/0037
m36_0981,1567121.0,5177567.0,178.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,6.0,1976-06-15 00:00:00,2017-09-19 00:00:00,,,,,210.0,1755.0,1109.3333333333333,568.653380071434,1150.0,M36/0981
m35_2266,1576927.0,5182377.0,149.0,None,None,None,149.0,146.90001,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1976-06-15 00:00:00,2017-09-19 00:00:00,,,,,210.0,1452.0,784.0,591.880055416636,737.0,M35/2266
m36_0870,1561008.0,5174026.0,98.9,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,2001-02-12 00:00:00,2009-11-06 00:00:00,0.6,,,,61.0,130.0,83.75,31.4364438192363,72.0,M36/0870
m36_0631,1557805.0,5167692.0,52.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-15 00:00:00,1985-08-15 00:00:00,,,,,62.0,62.0,62.0,,62.0,M36/0631
m36_0515,1557560.0,5166771.0,16.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,2011-05-24 00:00:00,2011-05-24 00:00:00,,,,,141.0,141.0,141.0,,141.0,M36/0515
m36_0510,1557017.0,5167468.0,103.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-15 00:00:00,1985-08-15 00:00:00,,,,,67.0,67.0,67.0,,67.0,M36/0510
m36_1245,1552508.0,5175295.0,113.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1986-09-10 00:00:00,1986-09-10 00:00:00,,,,,77.0,77.0,77.0,,77.0,M36/1245
m36_1298,1555337.0,5172709.0,38.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-15 00:00:00,1985-08-15 00:00:00,,,,,69.0,69.0,69.0,,69.0,M36/1298
m36_0253,1553549.0,5171933.0,26.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,3.0,2011-06-17 00:00:00,2011-06-17 00:00:00,,,,,44.5,44166.0,18389.833333333332,22980.201339051262,10959.0,M36/0253
m36_1249,1557092.0,5168152.0,38.7,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-08-19 00:00:00,1985-08-19 00:00:00,,,,,66.0,66.0,66.0,,66.0,M36/1249
m35_3637,1559704.0,5182168.0,140.0,None,None,None,140.0,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,11.0,1986-09-10 00:00:00,2017-09-20 00:00:00,,,,,20.0,426.0,135.9090909090909,114.56129760565264,107.0,M35/3637
l35_0205,1520408.0,5180579.0,28.0,None,None,None,28.0,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,2.0,2005-01-31 00:00:00,2005-01-31 00:00:00,0.5,,,,26.0,35.0,30.5,6.363961030678928,30.5,L35/0205
l35_0191,1536265.0,5183933.0,115.2,None,None,None,115.200005,115.200005,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,2001-02-16 00:00:00,2010-08-26 00:00:00,0.64,,,,33.0,50.0,43.75,7.804912982645398,46.0,L35/0191
m35_3772,1568980.0,5198941.0,16.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1985-09-02 00:00:00,1985-09-02 00:00:00,0.5,,,,30.0,30.0,30.0,,30.0,M35/3772
m35_2589,1552038.0,5204990.0,73.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,5.0,2000-02-09 00:00:00,2006-06-21 00:00:00,0.6,,,,79.0,151.0,100.0,29.546573405388315,85.0,M35/2589
m35_3289,1569300.0,5198781.0,77.0,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,1985-09-02 00:00:00,2000-02-08 00:00:00,0.4,,,,50.0,75.0,61.25,10.30776406404415,60.0,M35/3289
m36_2746,1543374.0,5154009.0,73.6,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,6.0,1999-04-22 00:00:00,2010-08-26 00:00:00,0.20000000000000004,,,,41.0,61.0,49.666666666666664,7.941452428030195,50.0,M36/2746
m36_0670,1543553.0,5154440.0,56.4,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,4.0,2001-02-14 00:00:00,2009-11-06 00:00:00,0.6,,,,41.0,112.0,65.75,31.9100297712177,55.0,M36/0670
m35_2637,1547548.0,5179977.0,60.3,None,None,None,,,ecan,nan,nan,nan,,nan,nan,nan,nan,,,1.0,1997-03-13 00:00:00,1997-03-13 00:00:00,,,,,45.0,45.0,45.0,,45.0,M35/2637
